[29-Nov-2024 07:07:21 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:07:21 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:07:21 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:07:21 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
[29-Nov-2024 07:07:54 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:07:54 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:07:54 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:07:54 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
[29-Nov-2024 07:08:08 UTC] Cron reschedule event error for hook: litespeed_task_imgoptm_pull, Error code: could_not_set, Error message: The cron event list could not be saved., Data: {"schedule":"litespeed_filter","args":[],"interval":60}
[29-Nov-2024 07:09:49 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:09:49 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:09:49 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:09:49 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
[29-Nov-2024 08:02:40 UTC] PHP Deprecated:  Function print_emoji_styles is <strong>deprecated</strong> since version 6.4.0! Use wp_enqueue_emoji_styles instead. in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\functions.php on line 6114
[29-Nov-2024 08:03:56 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 08:45:04 UTC] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wpdb.php on line 2345
[29-Nov-2024 08:55:45 UTC] Cron reschedule event error for hook: action_scheduler_run_queue, Error code: invalid_schedule, Error message: Event schedule does not exist., Data: {"schedule":"every_minute","args":["WP Cron"],"interval":60}
[29-Nov-2024 08:57:28 UTC] instawp_generate_api_key error, response from connects api: {"success":"","message":"CSRF token mismatch.","data":[],"code":419}
[29-Nov-2024 09:14:26 UTC] PHP Deprecated:  Function wp_update_https_detection_errors is <strong>deprecated</strong> since version 6.4.0 with no alternative available. in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\functions.php on line 6114
